VideoSpout,0,0
VideoSpout,1,0
VideoSpout,2,0
VideoSpout,3,0
VideoSpout,4,1
VideoSpout,5,1
VideoSpout,6,0
VideoSpout,7,0
VideoSpout,8,0
VideoSpout,9,0
VideoSpout,10,0
VideoSpout,11,0
VideoSpout,12,0
VideoSpout,13,1
VideoSpout,14,0
VideoSpout,15,0
VideoSpout,16,0
VideoSpout,17,0
VideoSpout,18,0
VideoSpout,19,0
VideoSpout,20,0
VideoSpout,21,0
VideoSpout,22,1
VideoSpout,23,0
VideoSpout,24,0
VideoSpout,25,0
VideoSpout,26,0
VideoSpout,27,1
VideoSpout,28,0
VideoSpout,29,0
VideoSpout,30,0
VideoSpout,31,0
VideoSpout,32,0
VideoSpout,33,0
VideoSpout,34,0
VideoSpout,35,0
VideoSpout,36,0
VideoSpout,37,0
VideoSpout,38,0
VideoSpout,39,1
VideoSpout,40,0
VideoSpout,41,0
VideoSpout,42,1
VideoSpout,43,0
VideoSpout,44,0
VideoSpout,45,0
VideoSpout,46,0
VideoSpout,47,0
VideoSpout,48,0
VideoSpout,49,0
VideoSpout,50,0
VideoSpout,51,0
VideoSpout,52,0
VideoSpout,53,0
VideoSpout,54,0
VideoSpout,55,0
VideoSpout,56,0
VideoSpout,57,0
VideoSpout,58,0
VideoSpout,59,0
VideoSpout,60,0
VideoSpout,61,0
VideoSpout,62,0
VideoSpout,63,0
VideoSpout,64,0
VideoSpout,65,0
VideoSpout,66,0
VideoSpout,67,0
VideoSpout,68,0
VideoSpout,69,0
VideoSpout,70,0
VideoSpout,71,0
VideoSpout,72,0
VideoSpout,73,0
VideoSpout,74,0
VideoSpout,75,0
VideoSpout,76,0
VideoSpout,77,0
VideoSpout,78,0
VideoSpout,79,0
VideoSpout,80,0
VideoSpout,81,0
VideoSpout,82,0
VideoSpout,83,0
VideoSpout,84,0
VideoSpout,85,0
VideoSpout,86,0
VideoSpout,87,0
VideoSpout,88,0
VideoSpout,89,0
VideoSpout,90,0
VideoSpout,91,0
VideoSpout,92,0
VideoSpout,93,1
VideoSpout,94,0
VideoSpout,95,1
VideoSpout,96,0
VideoSpout,97,0
rectificationBolt,5,12
partitionBolt,5,13
rectificationBolt,11,11
partitionBolt,11,8
rectificationBolt,17,9
partitionBolt,17,37
rectificationBolt,23,10
partitionBolt,23,6
VideoSpout,98,0
rectificationBolt,29,9
partitionBolt,29,9
rectificationBolt,35,9
partitionBolt,35,5
rectificationBolt,41,9
rectificationBolt,3,9
partitionBolt,41,5
partitionBolt,3,10
rectificationBolt,47,10
rectificationBolt,9,7
partitionBolt,47,6
partitionBolt,9,6
rectificationBolt,53,9
partitionBolt,53,6
rectificationBolt,15,20
rectificationBolt,59,12
partitionBolt,15,9
partitionBolt,59,6
rectificationBolt,21,7
rectificationBolt,65,9
partitionBolt,21,4
VideoSpout,99,0
partitionBolt,65,6
rectificationBolt,27,6
partitionBolt,27,4
rectificationBolt,71,9
rectificationBolt,33,6
partitionBolt,71,5
partitionBolt,33,5
rectificationBolt,39,7
rectificationBolt,77,8
partitionBolt,39,5
partitionBolt,77,5
rectificationBolt,45,6
disparityBoltSub,5,0,1531371804119,1531371804323 204
disparityBoltSub,5,1,1531371804122,1531371804302 180
disparityBolt,5,204
mergeBolt,5,1
partitionBolt,45,4
rectificationBolt,83,9
rectificationBolt,51,7
partitionBolt,83,7
reprojectionBolt,5,14
index,5,overallLatency,9669
partitionBolt,51,4
disparityBoltSub,11,0,1531371804134,1531371804321 187
disparityBoltSub,11,1,1531371804139,1531371804312 173
disparityBolt,11,187
mergeBolt,11,1
rectificationBolt,57,5
rectificationBolt,89,9
partitionBolt,57,4
reprojectionBolt,11,10
index,11,overallLatency,9069
partitionBolt,89,6
rectificationBolt,63,6
partitionBolt,63,3
rectificationBolt,95,10
rectificationBolt,69,5
partitionBolt,95,6
partitionBolt,69,5
disparityBoltSub,23,0,1531371804197,1531371804369 172
disparityBoltSub,23,1,1531371804198,1531371804373 175
disparityBolt,23,176
mergeBolt,23,2
rectificationBolt,75,6
partitionBolt,75,4
reprojectionBolt,23,9
index,23,overallLatency,7871
disparityBoltSub,17,0,1531371804182,1531371804381 199
disparityBoltSub,17,1,1531371804181,1531371804355 174
disparityBolt,17,200
mergeBolt,17,1
rectificationBolt,2,8
rectificationBolt,81,5
VideoSpout,100,0
partitionBolt,81,4
reprojectionBolt,17,9
index,17,overallLatency,8498
partitionBolt,2,8
rectificationBolt,87,6
partitionBolt,87,6
rectificationBolt,8,7
rectificationBolt,93,7
disparityBoltSub,29,0,1531371804215,1531371804413 198
